beneficiary_id,beneficiary_code,full_name,gender,age,country,status
217,BEN000217,Maria Hampton,Female,49,Burundi,IDP
218,BEN000218,Sarah Robinson,Male,76,Uganda,Refugee
219,BEN000219,Joseph Jones,Female,74,Tanzania,IDP
220,BEN000220,Miranda Lucero,Female,33,Dr Congo,IDP
221,BEN000221,Melissa Powell,Male,13,Kenya,Host Community
222,BEN000222,Amy Phillips,Female,44,South Sudan,IDP
223,BEN000223,John Steele,Male,25,Somalia,Host Community
224,BEN000224,Lisa Taylor,Male,24,Rwanda,Refugee
225,BEN000225,Lindsey Green,Female,24,South Sudan,Refugee
226,BEN000226,Richard Cruz,Female,25,South Sudan,Host Community
227,BEN000227,Juan Davies,Male,7,Uganda,Refugee
228,BEN000228,Randall Mason,Male,27,Rwanda,IDP
229,BEN000229,Jillian Sandoval,Male,53,Burundi,IDP
230,BEN000230,Alex Mcbride,Male,13,Kenya,IDP
231,BEN000231,James King,Female,57,Tanzania,IDP
232,BEN000232,Bradley Garcia,Male,43,Dr Congo,Refugee
233,BEN000233,Jamie Stuart,Female,10,Somalia,IDP
234,BEN000234,Kara Williams,Female,62,Uganda,IDP
235,BEN000235,Robert Harvey,Female,54,Sudan,Host Community
236,BEN000236,Steven Robinson,Female,5,Ethiopia,Host Community
237,BEN000237,Brenda Castillo,Female,6,Somalia,IDP
238,BEN000238,Joseph Long,Female,69,South Sudan,Host Community
239,BEN000239,Lisa James,Male,50,Dr Congo,Refugee
240,BEN000240,Kyle Green,Male,51,Tanzania,Host Community
241,BEN000241,Charles Combs,Male,34,South Sudan,IDP
242,BEN000242,Brian Velasquez,Male,76,Burundi,Host Community
243,BEN000243,Kerry Rodriguez,Female,53,Uganda,Host Community
244,BEN000244,Rachel Rivera MD,Male,13,Rwanda,IDP
245,BEN000245,Erik Potter,Female,17,Uganda,IDP
246,BEN000246,Theresa Robbins,Female,43,Kenya,IDP
247,BEN000247,Kenneth Montes,Female,20,South Sudan,Host Community
248,BEN000248,Christopher Jackson,Female,38,Sudan,Host Community
249,BEN000249,Rebecca Davis,Male,36,Dr Congo,Refugee
250,BEN000250,Patrick Buchanan,Male,35,Ethiopia,IDP
251,BEN000251,Ashley Lewis,Male,54,Rwanda,IDP
252,BEN000252,Ashley Austin,Male,45,Ethiopia,Host Community
253,BEN000253,Alan Lee,Female,41,Ethiopia,IDP
254,BEN000254,Dawn Stewart,Female,10,Rwanda,Host Community
255,BEN000255,Faith Santos,Female,46,Kenya,Host Community
256,BEN000256,Steven Barber,Female,22,Dr Congo,Host Community
257,BEN000257,Tina Foley,Male,36,Sudan,IDP
258,BEN000258,Jason Davidson,Male,55,Somalia,Host Community
259,BEN000259,Logan Palmer,Female,31,South Sudan,Refugee
260,BEN000260,Nancy Powers,Female,65,Somalia,Refugee
261,BEN000261,Mrs. Angela Foster,Female,56,Dr Congo,Refugee
262,BEN000262,Rachel Miller,Male,80,Kenya,Refugee
263,BEN000263,Jennifer Moody,Female,77,Dr Congo,Host Community
264,BEN000264,Nicole Mitchell,Male,49,Rwanda,Refugee
265,BEN000265,Jeffrey Jackson,Male,18,Uganda,Host Community
266,BEN000266,Thomas Gordon,Male,56,Dr Congo,IDP
267,BEN000267,Brad Cowan,Female,36,Kenya,IDP
268,BEN000268,Elizabeth Walters,Male,42,Kenya,IDP
269,BEN000269,Carl Mason,Male,57,Somalia,IDP
270,BEN000270,Angela Nichols,Male,41,Sudan,Host Community
271,BEN000271,Joshua Foster,Male,28,Uganda,Host Community
272,BEN000272,Leah Hunter,Female,50,Kenya,IDP
273,BEN000273,Melissa Ayala,Male,61,Sudan,Refugee
274,BEN000274,James Whitehead,Male,5,Burundi,Refugee
275,BEN000275,Eric French,Male,58,Dr Congo,Host Community
276,BEN000276,Allison Charles,Male,27,Burundi,IDP
277,BEN000277,Jocelyn Krause,Female,52,Burundi,Refugee
278,BEN000278,Daisy Hughes,Female,50,Kenya,Host Community
279,BEN000279,Jenna Jones,Female,25,Sudan,Refugee
280,BEN000280,Tara Mason,Female,21,Rwanda,Host Community
281,BEN000281,Sarah Mendez,Male,43,Kenya,Host Community
282,BEN000282,Joseph French,Female,51,Dr Congo,Host Community
283,BEN000283,Richard Martin,Female,41,South Sudan,Host Community
284,BEN000284,Jordan Escobar,Male,59,Ethiopia,Refugee
285,BEN000285,Jeanne Mccall,Female,4,Dr Congo,Refugee
286,BEN000286,Stephen Richard,Male,68,Burundi,Refugee
287,BEN000287,Kimberly Dyer,Female,71,Burundi,Refugee
288,BEN000288,Lauren Freeman,Male,23,Dr Congo,Host Community
289,BEN000289,Laura Carney,Female,40,Dr Congo,Host Community
290,BEN000290,Meghan Newman,Male,15,Uganda,IDP
291,BEN000291,Joanne Olson,Female,20,Sudan,IDP
292,BEN000292,Amy Hernandez,Male,77,Sudan,Refugee
293,BEN000293,Beth Petersen,Female,27,Uganda,IDP
294,BEN000294,Jason Johnson,Male,25,Sudan,IDP
295,BEN000295,Samuel Spears,Female,4,Dr Congo,Host Community
296,BEN000296,Michael Stein,Male,22,Kenya,IDP
297,BEN000297,Belinda Davis,Female,24,Rwanda,Host Community
298,BEN000298,Randy Reyes,Male,23,Uganda,Host Community
299,BEN000299,Robin Lee,Male,15,Rwanda,IDP
300,BEN000300,Cynthia Wolfe,Male,64,Kenya,Refugee
301,BEN000301,Alicia Riddle,Male,9,Somalia,IDP
302,BEN000302,Brandy Fuller,Female,11,Burundi,Refugee
303,BEN000303,Kristi Knight,Female,66,Dr Congo,IDP
304,BEN000304,Matthew Wilson,Female,1,Sudan,Host Community
305,BEN000305,Jason Montgomery,Male,18,Kenya,Refugee
306,BEN000306,Craig Campbell,Male,53,Tanzania,IDP
307,BEN000307,Erin Kim,Male,40,Dr Congo,Refugee
308,BEN000308,Angela Lloyd,Female,49,Tanzania,Host Community
309,BEN000309,James Haynes,Male,40,Somalia,Refugee
310,BEN000310,Brian Owen,Male,21,Kenya,Refugee
311,BEN000311,Maria Dean,Male,23,Rwanda,Refugee
312,BEN000312,Michael Bowman,Female,33,Tanzania,IDP
313,BEN000313,Angelica Mahoney,Male,4,Somalia,Host Community
314,BEN000314,Marissa Anderson,Male,3,Kenya,Refugee
315,BEN000315,Erin Carpenter,Male,47,South Sudan,IDP
316,BEN000316,Brandon Martinez,Male,76,Sudan,Host Community
317,BEN000317,Jessica Ruiz,Female,43,Kenya,Refugee
318,BEN000318,Donna Davis,Male,73,Rwanda,Refugee
319,BEN000319,Andrew Blevins,Male,80,Ethiopia,IDP
320,BEN000320,Adam Griffin,Male,74,Sudan,IDP
321,BEN000321,Jordan Bradley,Male,22,Rwanda,Host Community
322,BEN000322,Ashley Ward,Male,37,Dr Congo,Refugee
323,BEN000323,Sydney Stevenson,Male,79,Sudan,Host Community
324,BEN000324,Paul Thompson,Male,64,Burundi,Host Community
325,BEN000325,Megan Mooney,Male,72,Uganda,Host Community
326,BEN000326,William Garrett,Female,63,Ethiopia,Host Community
327,BEN000327,William Taylor,Male,66,Kenya,Host Community
328,BEN000328,Michelle Lewis,Male,1,Uganda,IDP
329,BEN000329,Melvin Herrera,Male,39,Ethiopia,Host Community
330,BEN000330,Melissa Smith,Male,78,Sudan,Refugee
331,BEN000331,Chad Wong,Male,8,Tanzania,Host Community
332,BEN000332,Nicholas Boyer,Female,70,Sudan,Refugee
333,BEN000333,Eric Cole,Female,73,Tanzania,Refugee
334,BEN000334,Haley Mendoza,Male,74,South Sudan,IDP
335,BEN000335,Patricia Robbins,Female,39,Kenya,Host Community
336,BEN000336,Curtis Ward,Male,76,Tanzania,Host Community
337,BEN000337,Travis Powell,Male,29,Uganda,Host Community
338,BEN000338,Jonathan Brooks,Male,6,Uganda,Host Community
339,BEN000339,Jay Ramirez,Male,8,Uganda,IDP
340,BEN000340,Chase Floyd,Male,8,Uganda,Host Community
341,BEN000341,Savannah Johnson,Male,24,Dr Congo,IDP
342,BEN000342,Charles Wiggins,Male,61,Somalia,Refugee
343,BEN000343,Jennifer Escobar,Male,12,Ethiopia,Host Community
344,BEN000344,Alexander Jefferson,Male,68,Burundi,IDP
345,BEN000345,Jillian Wallace,Female,62,Kenya,Refugee
346,BEN000346,Gabriel Patterson,Female,40,Sudan,Host Community
347,BEN000347,Michael Rodgers,Female,12,Uganda,Refugee
348,BEN000348,Bonnie Mendoza,Male,69,Ethiopia,IDP
349,BEN000349,Mark Ortiz,Female,18,Rwanda,IDP
350,BEN000350,Laura Barton,Female,14,Somalia,Refugee
351,BEN000351,William Garcia,Female,73,Kenya,Refugee
352,BEN000352,William Lamb,Female,10,Burundi,IDP
353,BEN000353,Joanna Hurst,Male,64,South Sudan,Host Community
354,BEN000354,Christopher Lee,Male,13,Kenya,Refugee
355,BEN000355,Daniel Nash,Female,12,Ethiopia,Refugee
356,BEN000356,Jill Alvarez,Male,51,Ethiopia,Refugee
357,BEN000357,Donna Chang,Male,73,Somalia,Host Community
358,BEN000358,Janet Silva,Female,14,South Sudan,IDP
359,BEN000359,Brianna Fuentes,Male,30,Kenya,Refugee
360,BEN000360,Stephen Bruce,Male,55,Sudan,Host Community
361,BEN000361,Noah Lopez,Female,20,Somalia,Host Community
362,BEN000362,Jason Wolfe,Male,79,Burundi,Host Community
363,BEN000363,Brittany Watson,Female,77,South Sudan,IDP
364,BEN000364,Michael Castro,Female,42,Sudan,IDP
365,BEN000365,Justin Robinson,Male,54,Uganda,Host Community
366,BEN000366,Jason Davis,Female,23,Somalia,IDP
367,BEN000367,Michael Beard,Male,74,Sudan,Refugee
368,BEN000368,Karen Butler,Male,30,Sudan,Refugee
369,BEN000369,Nancy Webb,Female,15,Kenya,IDP
370,BEN000370,Kenneth Coffey,Female,71,Uganda,Host Community
371,BEN000371,Brittany Williams,Female,21,South Sudan,IDP
372,BEN000372,Travis Harper,Male,33,Tanzania,Host Community
373,BEN000373,John Torres,Male,23,Sudan,Host Community
374,BEN000374,Eric Nichols,Male,12,Dr Congo,Refugee
375,BEN000375,Jacob Nunez,Male,20,Ethiopia,Refugee
376,BEN000376,Henry Rodriguez,Female,26,South Sudan,Host Community
377,BEN000377,Donna Ortiz,Male,13,Somalia,Host Community
378,BEN000378,Jared Ware,Male,18,Kenya,IDP
379,BEN000379,Leah Grimes,Male,48,Uganda,Host Community
380,BEN000380,Jacqueline Allen,Female,50,Tanzania,Refugee
381,BEN000381,Joshua Lucas,Female,24,South Sudan,Refugee
382,BEN000382,James Reid,Female,30,Ethiopia,Host Community
383,BEN000383,Henry Williams,Female,38,South Sudan,Refugee
384,BEN000384,Amber Wilson,Male,37,Tanzania,IDP
385,BEN000385,Tina Howell,Female,67,Tanzania,Refugee
386,BEN000386,Angela Edwards,Male,9,Ethiopia,IDP
387,BEN000387,Miss Rebecca Khan,Female,30,Uganda,IDP
388,BEN000388,Nicole Campbell,Female,31,Tanzania,Refugee
389,BEN000389,Steven Bonilla,Male,15,Rwanda,IDP
390,BEN000390,Sherry Barber,Male,47,Rwanda,Refugee
391,BEN000391,Michael Hodges,Male,75,Rwanda,IDP
392,BEN000392,Michael Gregory,Male,78,Tanzania,Refugee
393,BEN000393,Michael Hill,Male,35,Uganda,Refugee
394,BEN000394,Shannon Williams,Female,80,Ethiopia,Refugee
395,BEN000395,Diane Butler,Male,24,Kenya,Refugee
396,BEN000396,Nicole Thomas,Male,34,Sudan,Host Community
397,BEN000397,Stacie Gibbs,Female,2,South Sudan,Host Community
398,BEN000398,Jeffrey Singleton,Male,33,Burundi,Refugee
399,BEN000399,Kathy Hawkins,Female,16,Uganda,IDP
400,BEN000400,Randy Clark,Female,15,South Sudan,IDP
401,BEN000401,William Matthews,Male,68,South Sudan,Refugee
402,BEN000402,Catherine Williams,Male,41,Tanzania,Refugee
403,BEN000403,Robert Weaver,Female,4,Rwanda,Host Community
404,BEN000404,Daniel Lyons,Female,63,Uganda,IDP
405,BEN000405,Paul Alexander,Female,27,Sudan,IDP
406,BEN000406,Mr. William Sullivan DVM,Female,50,Sudan,Host Community
407,BEN000407,Alyssa Alvarez,Male,42,South Sudan,Refugee
408,BEN000408,Wesley Morton,Female,49,Dr Congo,IDP
409,BEN000409,Jasmine Cain,Female,57,Rwanda,Refugee
410,BEN000410,Robert Alexander,Male,55,South Sudan,Refugee
411,BEN000411,Megan Hogan,Male,9,Burundi,Host Community
412,BEN000412,Brittany Valencia,Male,47,Tanzania,IDP
413,BEN000413,Raymond Wolf,Male,42,Uganda,Host Community
414,BEN000414,Michael Smith,Male,65,Sudan,Refugee
415,BEN000415,Kendra Jenkins,Female,64,Rwanda,IDP
416,BEN000416,Matthew Flores,Female,35,Ethiopia,Host Community
417,BEN000417,Mandy Guerrero,Female,77,South Sudan,IDP
418,BEN000418,Bryan Conway PhD,Male,31,Somalia,Refugee
419,BEN000419,Rhonda Church MD,Female,9,South Sudan,IDP
420,BEN000420,Teresa Lawson,Male,70,Dr Congo,IDP
421,BEN000421,Bethany Brown,Female,1,Kenya,Host Community
422,BEN000422,Debra Allen,Male,58,Kenya,Refugee
423,BEN000423,Kevin Webb,Female,11,Rwanda,IDP
424,BEN000424,Mrs. Katie Cain,Female,41,Kenya,Refugee
425,BEN000425,Sarah Hubbard,Female,44,Kenya,IDP
426,BEN000426,Shane Allen,Male,28,Burundi,IDP
427,BEN000427,Scott Brown,Male,28,Sudan,IDP
428,BEN000428,Brittany Huang,Female,37,Kenya,Refugee
429,BEN000429,Michael Martin,Female,74,Tanzania,Refugee
430,BEN000430,Melanie Lee,Male,6,Kenya,Refugee
431,BEN000431,Samuel Martin,Female,23,Rwanda,IDP
432,BEN000432,Donald Stanton,Male,22,Uganda,Host Community
433,BEN000433,Samuel Salazar MD,Female,56,Tanzania,Host Community
434,BEN000434,Thomas Flores,Female,18,Burundi,Refugee
435,BEN000435,Ray Acevedo,Female,69,South Sudan,IDP
436,BEN000436,John Thompson,Male,61,South Sudan,IDP
437,BEN000437,Mark Vaughn,Male,70,Ethiopia,Refugee
438,BEN000438,Kimberly Wright,Female,76,Uganda,Host Community
439,BEN000439,Jeffrey Martinez,Male,47,Uganda,Host Community
440,BEN000440,Jesus Frye,Male,16,Dr Congo,Host Community
